geoid,tvdma
51029,"Richmond - Petersburg, VA DMA"
37025,"Charlotte, NC - SC DMA"
29225,"Springfield, MO - AR DMA"
49011,"Salt Lake City, UT - ID - WY DMA"
27033,"Minneapolis - St. Paul, MN - WI DMA"
12093,"West Palm Beach - Ft. Pierce, FL DMA"
13291,"Atlanta, GA - AL - NC DMA"
19013,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
48403,"Shreveport, LA - AR - OK - TX DMA"
39131,"Columbus, OH DMA"
01125,"Birmingham, AL DMA"
01131,"Montgomery, AL DMA"
28097,"Columbus - Tupelo - West Point, MS - AL DMA"
31099,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
31087,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
10003,"Philadelphia, PA - DE - NJ DMA"
16081,"Idaho Falls - Pocatello, ID - WY DMA"
17161,"Davenport - Rock Island - Moline, IA - IL DMA"
51073,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
05133,"Shreveport, LA - AR - OK - TX DMA"
18017,"Indianapolis, IN DMA"
16077,"Idaho Falls - Pocatello, ID - WY DMA"
18015,"Indianapolis, IN DMA"
42101,"Philadelphia, PA - DE - NJ DMA"
56043,"Casper - Riverton, WY DMA"
37029,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
36109,"Syracuse, NY DMA*"
05069,"Little Rock - Pine Bluff, AR DMA"
05079,"Little Rock - Pine Bluff, AR DMA"
55123,"LaCrosse - Eau Claire, WI - MN DMA"
29093,"St. Louis, MO - IL DMA"
