FISCAL_DAY,UA_SPEND,CPI,PAID_INSTALL_TO_REG,ORGANIC_TO_PAID_REG,REG_TO_PU
2024-05-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-01,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-02,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-03,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-04,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-05,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-06,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-07,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-08,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-09,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-10,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-11,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-12,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-13,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-14,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
